Rk,Name,Pos,Salary,Projection,PR
83,Baltimore Ravens,DST,4800 ,10.3,466.0194175
100,Jacksonville Jaguars,DST,4700 ,9.7,484.5360825
110,New Orleans Saints,DST,4600 ,9.1,505.4945055
123,Detroit Lions,DST,4700 ,8.5,552.9411765
129,Pittsburgh Steelers,DST,4200 ,8.4,500
145,Tennessee Titans,DST,4200 ,8.1,518.5185185
145,New England Patriots,DST,4200 ,8.1,518.5185185
157,Washington Redskins,DST,4000 ,8,500
161,Green Bay Packers,DST,4100 ,7.9,518.9873418
164,Minnesota Vikings,DST,4500 ,7.8,576.9230769
164,Denver Broncos,DST,4600 ,7.8,589.7435897
164,Los Angeles Rams,DST,5000 ,7.8,641.025641
167,Carolina Panthers,DST,4300 ,7.7,558.4415584
173,Cincinnati Bengals,DST,4400 ,7.5,586.6666667
173,Seattle Seahawks,DST,4100 ,7.5,546.6666667
178,Arizona Cardinals,DST,4100 ,7.3,561.6438356
188,Los Angeles Chargers,DST,4300 ,6.9,623.1884058
191,Chicago Bears,DST,3600 ,6.8,529.4117647
216,Miami Dolphins,DST,3200 ,6.2,516.1290323
219,Philadelphia Eagles,DST,4500 ,6.1,737.704918
219,Dallas Cowboys,DST,3500 ,6.1,573.7704918
219,New York Jets,DST,3500 ,6.1,573.7704918
223,Atlanta Falcons,DST,3300 ,6,550
230,Kansas City Chiefs,DST,3900 ,5.8,672.4137931
234,Buffalo Bills,DST,4500 ,5.7,789.4736842
234,New York Giants,DST,3900 ,5.7,684.2105263
248,Oakland Raiders,DST,4100 ,5.2,788.4615385
253,San Francisco 49ers,DST,3800 ,5.1,745.0980392
257,Indianapolis Colts,DST,3900 ,4.9,795.9183673
260,Houston Texans,DST,4000 ,4.8,833.3333333
266,Cleveland Browns,DST,3000 ,4.6,652.173913
277,Tampa Bay Buccaneers,DST,3400 ,4.2,809.5238095
251,Jaylen Samuels,FB,4500 ,5.16,872.0930233
292,Kyle Juszczyk,FB,4500 ,3.65,1232.876712
82,Stephen Gostkowski,K,5000 ,10.36,482.6254826
88,Greg Zuerlein,K,4950 ,10.06,492.0477137
91,Matt Prater,K,4900 ,9.91,494.4500505
94,Wil Lutz,K,4850 ,9.81,494.393476
97,Justin Tucker,K,4800 ,9.71,494.3357364
106,Jake Elliott,K,4750 ,9.36,507.4786325
109,Daniel Carlson,K,4700 ,9.11,515.9165752
111,Mason Crosby,K,4650 ,9.06,513.2450331
112,Caleb Sturgis,K,4600 ,9.01,510.5438402
122,Graham Gano,K,4550 ,8.56,531.5420561
124,Adam Vinatieri,K,4500 ,8.46,531.9148936
132,Brandon McManus,K,4450 ,8.36,532.2966507
133,Chris Boswell,K,4400 ,8.34,527.5779376
136,Ka'imi Fairbairn,K,4350 ,8.31,523.465704
141,Phil Dawson,K,4300 ,8.21,523.7515225
141,Dustin Hopkins,K,4250 ,8.21,517.6613886
143,Chandler Catanzaro,K,4200 ,8.16,514.7058824
148,Robbie Gould,K,4150 ,8.06,514.8883375
150,Matt Bryant,K,4100 ,8.04,509.9502488
150,Ryan Succop,K,4050 ,8.04,503.7313433
150,Josh Lambo,K,4000 ,8.04,497.5124378
156,Cody Parkey,K,3950 ,8.01,493.133583
162,Randy Bullock,K,3900 ,7.89,494.2965779
163,Harrison Butker,K,3850 ,7.84,491.0714286
169,Sebastian Janikowski,K,3800 ,7.64,497.382199
169,Mike Nugent,K,3750 ,7.64,490.8376963
175,Jason Sanders,K,3700 ,7.49,493.9919893
185,Aldrick Rosas,K,3650 ,6.99,522.1745351
201,Zane Gonzalez,K,3600 ,6.5,553.8461538
205,Steven Hauschka,K,3550 ,6.45,550.3875969
212,Brett Maher,K,3500 ,6.33,552.9225908
214,Jason Myers,K,3450 ,6.3,547.6190476
1,Aaron Rodgers,QB,8700 ,20.66,421.1035818
3,Drew Brees,QB,8400 ,20.27,414.4055254
4,Tom Brady,QB,8600 ,19.86,433.0312185
6,Deshaun Watson,QB,8200 ,19.67,416.8784952
8,Cam Newton,QB,8100 ,19.26,420.5607477
9,Matthew Stafford,QB,8400 ,18.82,446.3336876
10,Andrew Luck,QB,7300 ,18.75,389.3333333
11,Kirk Cousins,QB,7600 ,18.5,410.8108108
12,Philip Rivers,QB,7500 ,18.41,407.3872895
13,Jared Goff,QB,8000 ,18.08,442.4778761
14,Russell Wilson,QB,7900 ,18.02,438.4017758
15,Andy Dalton,QB,6800 ,17.87,380.5260213
16,Ben Roethlisberger,QB,8000 ,17.51,456.8817818
17,Marcus Mariota,QB,7200 ,17.18,419.0919674
19,Dak Prescott,QB,7000 ,16.94,413.2231405
20,Alex Smith,QB,6900 ,16.91,408.0425784
21,Patrick Mahomes,QB,6700 ,16.83,398.0986334
25,Blake Bortles,QB,6600 ,16.19,407.6590488
26,Matt Ryan,QB,7000 ,16.14,433.7050805
27,Tyrod Taylor,QB,6600 ,16.09,410.1926663
28,Mitch Trubisky,QB,6500 ,15.88,409.3198992
29,Nick Foles,QB,7400 ,15.76,469.5431472
30,Ryan Fitzpatrick,QB,6200 ,15.58,397.9460847
31,Case Keenum,QB,6300 ,15.57,404.6242775
32,Ryan Tannehill,QB,6200 ,15.41,402.3361454
35,Jimmy Garoppolo,QB,7100 ,15.18,467.7206851
38,Sam Bradford,QB,6400 ,14.49,441.6839199
39,Derek Carr,QB,7400 ,14.48,511.0497238
45,Joe Flacco,QB,6100 ,14.08,433.2386364
47,Sam Darnold,QB,6800 ,13.61,499.6326231
48,Eli Manning,QB,6300 ,13.47,467.7060134
86,Nathan Peterman,QB,6000 ,10.11,593.4718101
2,Todd Gurley,RB,9200 ,20.49,448.999512
5,Alvin Kamara,RB,8700 ,19.72,441.1764706
7,David Johnson,RB,8600 ,19.52,440.5737705
22,Ezekiel Elliott,RB,8300 ,16.51,502.7256208
24,Melvin Gordon,RB,8100 ,16.2,500
32,Leonard Fournette,RB,8000 ,15.41,519.1434134
36,Kareem Hunt,RB,8000 ,15.12,529.1005291
37,Christian McCaffrey,RB,7500 ,14.94,502.0080321
42,Saquon Barkley,RB,7600 ,14.34,529.986053
46,Dalvin Cook,RB,7300 ,13.87,526.3157895
50,Devonta Freeman,RB,7100 ,12.98,546.9953775
51,James Conner,RB,5000 ,12.76,391.8495298
55,Alex Collins,RB,6700 ,12.36,542.0711974
55,Joe Mixon,RB,6900 ,12.36,558.2524272
57,LeSean McCoy,RB,7300 ,12.35,591.0931174
63,Lamar Miller,RB,6500 ,12.05,539.4190871
64,Kenyan Drake,RB,6600 ,11.95,552.3012552
65,Jordan Howard,RB,7400 ,11.94,619.7654941
70,Jamaal Williams,RB,6100 ,11.38,536.0281195
71,Rex Burkhead,RB,6300 ,11.32,556.5371025
73,Derrick Henry,RB,6800 ,11.2,607.1428571
75,Royce Freeman,RB,6000 ,11.09,541.0279531
81,Jay Ajayi,RB,6400 ,10.4,615.3846154
96,Carlos Hyde,RB,5900 ,9.74,605.7494867
97,Marshawn Lynch,RB,7400 ,9.71,762.1009269
103,Dion Lewis,RB,6200 ,9.57,647.8578892
114,Peyton Barber,RB,5600 ,8.94,626.3982103
118,Kerryon Johnson,RB,6500 ,8.74,743.7070938
121,Bilal Powell,RB,6000 ,8.64,694.4444444
125,Chris Thompson,RB,6200 ,8.45,733.7278107
127,James White,RB,5500 ,8.42,653.2066508
133,Isaiah Crowell,RB,6500 ,8.34,779.3764988
135,Tevin Coleman,RB,5900 ,8.33,708.2833133
139,Chris Carson,RB,5900 ,8.24,716.0194175
150,Duke Johnson,RB,5800 ,8.04,721.3930348
155,Matt Breida,RB,5000 ,8.02,623.4413965
167,Jordan Wilkins,RB,5100 ,7.7,662.3376623
172,Ty Montgomery,RB,5700 ,7.56,753.968254
176,Tarik Cohen,RB,5600 ,7.38,758.8075881
177,Adrian Peterson,RB,6300 ,7.36,855.9782609
181,Giovani Bernard,RB,5400 ,7.22,747.9224377
183,Alfred Morris,RB,5500 ,7.07,777.9349364
195,Theo Riddick,RB,5400 ,6.68,808.3832335
196,Javorius Allen,RB,4900 ,6.67,734.6326837
203,Devontae Booker,RB,6000 ,6.48,925.9259259
206,Corey Clement,RB,5000 ,6.44,776.3975155
211,Latavius Murray,RB,5500 ,6.35,866.1417323
230,Darren Sproles,RB,4600 ,5.8,793.1034483
236,Austin Ekeler,RB,5100 ,5.59,912.3434705
241,Mike Gillislee,RB,4600 ,5.5,836.3636364
244,CJ Anderson,RB,5700 ,5.41,1053.604436
245,Frank Gore,RB,5300 ,5.38,985.1301115
250,Nyheim Hines,RB,5400 ,5.18,1042.471042
252,LeGarrette Blount,RB,5700 ,5.15,1106.796117
254,Jeremy Hill,RB,4600 ,5.09,903.7328094
262,Rashaad Penny,RB,6300 ,4.72,1334.745763
266,Doug Martin,RB,5500 ,4.6,1195.652174
268,TJ Yeldon,RB,5000 ,4.58,1091.703057
270,Alfred Blue,RB,5000 ,4.53,1103.752759
280,Spencer Ware,RB,5200 ,4.03,1290.322581
281,Kenneth Dixon,RB,5300 ,3.98,1331.658291
283,Chase Edmonds,RB,5000 ,3.95,1265.822785
288,Jalen Richard,RB,4600 ,3.74,1229.946524
289,Chris Ivory,RB,5700 ,3.68,1548.913043
296,Christine Michael,RB,4700 ,3.56,1320.224719
298,Corey Grant,RB,4500 ,3.32,1355.421687
43,Rob Gronkowski,TE,7900 ,14.33,551.2909979
54,Travis Kelce,TE,7100 ,12.45,570.2811245
69,Zach Ertz,TE,6600 ,11.51,573.4144222
92,Delanie Walker,TE,6100 ,9.88,617.4089069
93,Greg Olsen,TE,6300 ,9.86,638.9452333
107,Kyle Rudolph,TE,5900 ,9.18,642.7015251
115,Jimmy Graham,TE,6000 ,8.93,671.8924972
116,Trey Burton,TE,5700 ,8.88,641.8918919
120,Jack Doyle,TE,5600 ,8.67,645.905421
126,Evan Engram,TE,6000 ,8.44,710.9004739
144,Jordan Reed,TE,5800 ,8.12,714.2857143
160,Tyler Eifert,TE,5500 ,7.94,692.6952141
184,Jared Cook,TE,6000 ,7.04,852.2727273
187,Ricky Seals-Jones,TE,5100 ,6.98,730.6590258
189,George Kittle,TE,5300 ,6.88,770.3488372
190,Charles Clay,TE,5200 ,6.84,760.2339181
192,David Njoku,TE,5300 ,6.77,782.8655835
198,Benjamin Watson,TE,4900 ,6.59,743.5508346
203,Austin Seferian-Jenkins,TE,4600 ,6.48,709.8765432
222,Cameron Brate,TE,5400 ,6.03,895.5223881
225,OJ Howard,TE,5400 ,5.94,909.0909091
226,Mike Gesicki,TE,4700 ,5.93,792.5801012
232,Eric Ebron,TE,5000 ,5.79,863.5578584
236,Austin Hooper,TE,4800 ,5.59,858.6762075
239,Jesse James,TE,4600 ,5.51,834.845735
241,Ryan Griffin,TE,4700 ,5.5,854.5454545
249,Antonio Gates,TE,4800 ,5.19,924.8554913
269,Dallas Goedert,TE,4000 ,4.57,875.273523
274,Nick Vannett,TE,4300 ,4.38,981.7351598
